GaiaDR3,n_refs,refs,has_rv,classes
458874310209191808,1,Risbud2025,True,T
458874615145586176,1,Risbud2025,False,T
458874997404951168,1,Risbud2025,True,T
458924746002582784,1,Kos2024,False,L
458930316584175104,2,"Kos2024, Risbud2025",False,T
458930660181606016,1,Risbud2025,False,T
458937257251264256,2,"Kos2024, Risbud2025",False,T
458944266637742080,1,Risbud2025,True,T
458960862389706112,2,"Kos2024, Risbud2025",True,T
458981237714987136,1,Risbud2025,True,T
459005186451913856,2,"Kos2024, Risbud2025",False,T
459012779953986816,1,Risbud2025,False,T
459017246719862016,1,Risbud2025,False,T
459022400680544256,2,"Kos2024, Risbud2025",False,T
459036488173206656,2,"Kos2024, Risbud2025",True,T
459041401615690496,2,"Kos2024, Risbud2025",False,T
459054698834823552,2,"Kos2024, Risbud2025",False,T
459061673861640448,1,Risbud2025,True,L
459076963944758272,1,Kos2024,False,L
459105379449631616,2,"Kos2024, Risbud2025",True,T
459119638740835456,1,Kos2024,True,L
459132661082542976,1,Risbud2025,False,T
459171281428834944,2,"Kos2024, Risbud2025",True,T
459176916425962624,1,Risbud2025,True,T
459192378309095552,1,Risbud2025,True,L
459218732228130816,1,Risbud2025,False,T
459226390143697024,1,Risbud2025,True,L
459231960725839488,1,Kos2024,True,L
459255772024335744,2,"Kos2024, Risbud2025",False,T
459258383364051072,1,Risbud2025,False,T
459260341869017856,1,Kos2024,False,T
459265667628938368,2,"Kos2024, Risbud2025",False,L
459269515919621760,1,Risbud2025,True,L
459270546713060096,2,"Kos2024, Risbud2025",False,T
459302810505754624,1,Risbud2025,False,T
459343973472482816,1,Kos2024,False,T
459508041219737984,1,Risbud2025,True,T
459576588897080576,1,Risbud2025,True,T
459614281530182656,1,Risbud2025,True,T
459680973782697984,1,Risbud2025,True,T
459710832395510528,1,Risbud2025,False,T
459719697207900800,1,Risbud2025,True,T
459786389459529216,1,Risbud2025,True,T
459864317347766528,2,"Kos2024, Risbud2025",True,T
459890327669462144,2,"Kos2024, Risbud2025",True,T
459891392821392256,1,Risbud2025,False,T
459892728550305024,1,Risbud2025,True,T
459915960034214016,1,Risbud2025,True,T
459942107794600704,1,Kos2024,True,T
459961521046030080,2,"Kos2024, Risbud2025",False,T
459997804929524992,1,Risbud2025,True,T
460032336466314752,1,Risbud2025,True,T
460086929792583040,2,"Kos2024, Risbud2025",True,T
460121255170064256,1,Risbud2025,True,T
