gaia_dr3_source_id,cluster_name,catalogue_id,catalogue_reference,selection_stage,selection_criterion,original_class,original_class_basis,homogenized_class,homogenized_class_basis,kos_pbint,kos_pbbin,kos_like,kos_like6d,risbud_leading_flag,risbud_trailing_flag,risbud_within_tidal_radius_flag,risbud_corrected_sample_flag,ra_deg,dec_deg,pmra_masyr,pmdec_masyr,rv_kms
442750384500171264,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,50.879082,51.733784,11.848173,-17.816143,-1.6799999475479126
443054055869389440,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,52.230934,51.644819,11.647215,-16.151623,nan
443141089086539520,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,51.758843,52.213553,11.995811,-18.176953,16.530000686645508
443591098578572544,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,52.282163,54.000942,10.656512,-17.883812,18.600000381469727
443771418485622016,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,1.0,0.9005960706451823,406.90824652448987,0.0,-1,-1,-1,-1,56.37557505646,52.54151673518,9.86936684432992,-17.68188972239927,nan
443977027161088128,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,54.369019,52.784717,10.875848,-16.84336,14.619999885559082
444019736314356736,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,55.034225,53.317351,10.467073,-17.558908,nan
444102921240354816,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,1.0,1.0,406.90824652448987,0.0,-1,-1,-1,-1,55.30339998522,53.36622701775,10.36740053474073,-17.02313146331667,nan
444102921240354816,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,55.3034,53.366227,10.367401,-17.023131,nan
445138592474871296,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,53.363183,54.715948,10.783664,-18.905742,nan
445402200386778624,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,56.725362,55.324782,9.197139,-19.361357,nan
446093243445334912,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.758902,52.926628,12.549899,-15.298282,-10.979999542236328
446621352624952704,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,1.0,1.0,841.0857367951235,0.002933673096015874,-1,-1,-1,-1,51.79445824163,54.47835044921,12.08334608138903,-17.32989755623001,19.10256767272949
446621352624952704,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,51.794458,54.47835,12.083346,-17.329898,19.100000381469727
446651932791889664,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,1.0,0.9313400436999406,242.86670211409339,0.001128335806159951,-1,-1,-1,-1,50.96537902326,54.36109147315,12.53500746991735,-16.65355948023638,11.56054306030273
446651932791889664,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,50.965379,54.361091,12.535007,-16.653559,11.5600004196167
446688147956294016,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,51.327362,54.692132,11.313483,-17.889013,12.420000076293945
446835757392056960,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,49.911214,54.915453,11.52572,-18.300611,7.53000020980835
446874996213399808,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,0.9222071812110626,1.0,423.0993599987627,0.0,-1,-1,-1,-1,50.71147514842,54.99317200244,11.65162491377586,-16.51424172028825,20.9356746673584
447083662905353216,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,46.29152,53.723113,12.2,-16.894357,-0.5299999713897705
447312258245108736,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,1.0,0.93350725510364,345.5524480956665,0.0,-1,-1,-1,-1,46.55058171162,54.27407381375,13.2311878492543,-16.25805190639277,nan
447312258245108736,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,46.550582,54.274074,13.231188,-16.258052,nan
447341876339225344,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,45.401534,54.224777,14.020867,-18.482482,nan
447382042872710016,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,46.295431,54.757396,13.210538,-17.677691,7.099999904632568
447395129632753408,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,45.707875,54.826364,11.951883,-14.919571,13.890000343322754
447397917071811200,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,46.078033,54.838556,12.952769,-16.013992,nan
447498694184000000,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,46.096919,55.151646,13.574484,-17.319824,12.119999885559082
447515461736173952,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,46.846621,55.322377,13.325745,-16.955822,nan
447518382313874560,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,0.9222071812110626,1.0,430.0586982464764,0.03317307270110257,-1,-1,-1,-1,46.94211311085,55.43177921102,14.28192735982742,-17.64200679444843,17.11050605773926
447518382313874560,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,46.942113,55.431779,14.281927,-17.642007,17.110000610351562
447586586395602688,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,49.193334,54.953166,10.294405,-14.015802,nan
447638366520736768,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.080698,55.111494,12.371343,-17.156736,16.84000015258789
447652213495585664,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.733505,55.19719,11.855006,-15.681602,22.25
447670424156418944,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.629465,55.455077,12.110476,-16.811777,nan
447700282769057536,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,49.912043,55.475754,11.95358,-17.684691,nan
447755876825497856,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,50.430603,56.193115,11.031309,-15.892086,24.899999618530273
447768761727525760,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,0.9222071812110626,1.0,423.0993599987627,0.0,-1,-1,-1,-1,49.66765880668,55.87076226481,12.10251509694152,-16.63706023569248,nan
447768761727525760,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,49.667659,55.870762,12.102515,-16.63706,nan
447881736548059264,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.280164,55.796135,12.318212,-17.922148,nan
447995364201972992,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.921896,56.373971,11.559256,-15.283898,12.390000343322754
448091159152080640,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,48.853058,56.89673,12.12837,-17.45494,14.4399995803833
448111598897227520,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,52.622044,54.519426,10.971844,-16.15391,-9.3100004196167
448111603196958592,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,52.620827,54.519396,10.928646,-16.267523,nan
448223852163698176,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,T,Jadhav2025_distAlongO_pm10pc,0.9222071812110626,1.0,423.0993599987627,0.001128335806159951,-1,-1,-1,-1,52.9387734327,55.41145896497,10.83382215647091,-17.13117050693618,13.91060924530029
448223852163698176,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,52.938773,55.411459,10.833822,-17.131171,13.90999984741211
448313672817423488,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,54.550229,56.093933,9.34565,-18.751384,6.96999979019165
448536701879193216,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,52.723905,56.10889,10.992518,-18.184203,17.920000076293945
453388022060829184,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,43.720298,54.059145,15.372167,-18.09317,-27.920000076293945
453431109172256000,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,44.237481,54.626268,15.969059,-19.392945,3.490000009536743
453564356238694784,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,42.28958,54.500431,14.570569,-15.165777,5.489999771118164
453637130164013440,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,43.495495,54.897657,14.07938,-15.280212,13.420000076293945
454260312742031360,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,38.764126,55.313341,15.461332,-15.304747,25.829999923706055
454520896995360640,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,C,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,41.802661,55.736836,13.036514,-14.550884,9.470000267028809
454573707912931200,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,42.028424,56.304475,15.760685,-16.277948,nan
